category,count,R@1_instance,MAP,BERTScore_F1_mean,CLIPScore_matched_mean,CLIPScore_retrieved_mean
flower,57,0.2807017543859649,0.9776618959161871,0.94448626,0.31604168,0.33167174
tvmonitor,50,0.28,0.9706915875042896,0.9325886,0.31213063,0.3283478
aeroplane,55,0.2727272727272727,0.96446909654623,0.95423967,0.2829716,0.29420823
diningtable,59,0.288135593220339,0.95467198701157,0.9510267,0.3133929,0.328011
bicycle,56,0.42857142857142855,0.9424062288824496,0.9496061,0.30990648,0.31929058
bus,49,0.3469387755102041,0.9361441641604894,0.949537,0.3072637,0.31857425
train,48,0.4791666666666667,0.9360837029453527,0.94765395,0.3051642,0.31445637
horse,55,0.32727272727272727,0.9272886004440447,0.95293623,0.3054141,0.3180479
bottle,39,0.6666666666666666,0.9124596128472094,0.97148025,0.3154625,0.3226436
boat,45,0.17777777777777778,0.8657648415263584,0.93563354,0.29352164,0.30655056
cat,48,0.5833333333333334,0.8373275826452314,0.9616723,0.30557656,0.31130433
bird,49,0.6326530612244898,0.8319964266340083,0.9741363,0.29859522,0.30227575
sofa,44,0.4772727272727273,0.7516560595766866,0.94642884,0.31026822,0.32033935
chair,53,0.5094339622641509,0.7456463543911842,0.95846236,0.32212567,0.3310028
motorbike,46,0.41304347826086957,0.7450421036653426,0.9567042,0.29613057,0.30722466
cow,42,0.3333333333333333,0.7376313332994429,0.94573164,0.29880375,0.31082043
dog,59,0.6271186440677966,0.7354394898442449,0.970638,0.30001947,0.30413663
sheep,51,0.21568627450980393,0.7238898617540306,0.9374681,0.28088152,0.3047934
car,35,0.6857142857142857,0.7046003578712329,0.9794451,0.28770065,0.29253098
person,42,0.8333333333333334,0.5385338241081824,0.98549634,0.2901443,0.2927959
